participant_ID,Condition,Voice,hits,total,hit_rate,fa_rate,corr_mem
253,HL,Passive,6,6,1.0,0.125,0.875
253,LH,Active,6,6,1.0,0.125,0.875
253,LH,Passive,6,6,1.0,0.125,0.875
253,LL,Active,6,6,1.0,0.125,0.875
253,LL,Passive,6,6,1.0,0.125,0.875
254,HH,Active,2,6,0.3333333333333333,0.3125,0.020833333333333315
254,HH,Passive,5,6,0.8333333333333334,0.3125,0.5208333333333334
254,HL,Active,6,6,1.0,0.3125,0.6875
254,HL,Passive,5,6,0.8333333333333334,0.3125,0.5208333333333334
254,LH,Active,4,6,0.6666666666666666,0.3125,0.35416666666666663
254,LH,Passive,5,6,0.8333333333333334,0.3125,0.5208333333333334
254,LL,Active,5,6,0.8333333333333334,0.3125,0.5208333333333334
254,LL,Passive,5,6,0.8333333333333334,0.3125,0.5208333333333334
256,HH,Active,6,6,1.0,0.1875,0.8125
256,HH,Passive,6,6,1.0,0.1875,0.8125
256,HL,Active,6,6,1.0,0.1875,0.8125
256,HL,Passive,6,6,1.0,0.1875,0.8125
256,LH,Active,6,6,1.0,0.1875,0.8125
256,LH,Passive,6,6,1.0,0.1875,0.8125
256,LL,Active,5,6,0.8333333333333334,0.1875,0.6458333333333334
256,LL,Passive,4,6,0.6666666666666666,0.1875,0.47916666666666663
257,HH,Active,3,6,0.5,0.14583333333333334,0.35416666666666663
257,HH,Passive,3,6,0.5,0.14583333333333334,0.35416666666666663
257,HL,Active,3,6,0.5,0.14583333333333334,0.35416666666666663
257,HL,Passive,2,6,0.3333333333333333,0.14583333333333334,0.18749999999999997
257,LH,Active,4,6,0.6666666666666666,0.14583333333333334,0.5208333333333333
257,LH,Passive,2,6,0.3333333333333333,0.14583333333333334,0.18749999999999997
257,LL,Active,6,6,1.0,0.14583333333333334,0.8541666666666666
257,LL,Passive,4,6,0.6666666666666666,0.14583333333333334,0.5208333333333333
258,HH,Active,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
258,HH,Passive,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
258,HL,Active,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
258,HL,Passive,6,6,1.0,0.07291666666666667,0.9270833333333334
258,LH,Active,4,6,0.6666666666666666,0.07291666666666667,0.59375
258,LH,Passive,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
258,LL,Active,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
258,LL,Passive,6,6,1.0,0.07291666666666667,0.9270833333333334
259,HH,Active,5,6,0.8333333333333334,0.2916666666666667,0.5416666666666667
259,HH,Passive,4,6,0.6666666666666666,0.2916666666666667,0.37499999999999994
259,HL,Active,5,6,0.8333333333333334,0.2916666666666667,0.5416666666666667
259,HL,Passive,5,6,0.8333333333333334,0.2916666666666667,0.5416666666666667
259,LH,Active,5,6,0.8333333333333334,0.2916666666666667,0.5416666666666667
259,LH,Passive,4,6,0.6666666666666666,0.2916666666666667,0.37499999999999994
259,LL,Active,5,6,0.8333333333333334,0.2916666666666667,0.5416666666666667
259,LL,Passive,5,6,0.8333333333333334,0.2916666666666667,0.5416666666666667
260,HH,Active,4,6,0.6666666666666666,0.07291666666666667,0.59375
260,HH,Passive,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
260,HL,Active,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
260,HL,Passive,6,6,1.0,0.07291666666666667,0.9270833333333334
260,LH,Active,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
260,LH,Passive,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
260,LL,Active,5,6,0.8333333333333334,0.07291666666666667,0.7604166666666667
260,LL,Passive,4,6,0.6666666666666666,0.07291666666666667,0.59375
261,HH,Active,6,6,1.0,0.2604166666666667,0.7395833333333333
261,HH,Passive,6,6,1.0,0.2604166666666667,0.7395833333333333
261,HL,Active,6,6,1.0,0.2604166666666667,0.7395833333333333
261,HL,Passive,6,6,1.0,0.2604166666666667,0.7395833333333333
261,LH,Active,6,6,1.0,0.2604166666666667,0.7395833333333333
261,LH,Passive,6,6,1.0,0.2604166666666667,0.7395833333333333
261,LL,Active,6,6,1.0,0.2604166666666667,0.7395833333333333
261,LL,Passive,6,6,1.0,0.2604166666666667,0.7395833333333333
262,HH,Active,6,6,1.0,0.0625,0.9375
262,HH,Passive,6,6,1.0,0.0625,0.9375
262,HL,Active,3,6,0.5,0.0625,0.4375
262,HL,Passive,5,6,0.8333333333333334,0.0625,0.7708333333333334
262,LH,Active,6,6,1.0,0.0625,0.9375
262,LH,Passive,6,6,1.0,0.0625,0.9375
262,LL,Active,2,6,0.3333333333333333,0.0625,0.2708333333333333
262,LL,Passive,5,6,0.8333333333333334,0.0625,0.7708333333333334
263,HH,Active,5,6,0.8333333333333334,0.17708333333333334,0.65625
263,HH,Passive,5,6,0.8333333333333334,0.17708333333333334,0.65625
263,HL,Active,3,6,0.5,0.17708333333333334,0.32291666666666663
263,HL,Passive,3,6,0.5,0.17708333333333334,0.32291666666666663
263,LH,Active,4,6,0.6666666666666666,0.17708333333333334,0.48958333333333326
263,LH,Passive,4,6,0.6666666666666666,0.17708333333333334,0.48958333333333326
263,LL,Active,4,6,0.6666666666666666,0.17708333333333334,0.48958333333333326
263,LL,Passive,6,6,1.0,0.17708333333333334,0.8229166666666666
264,HH,Active,6,6,1.0,0.125,0.875
264,HH,Passive,5,6,0.8333333333333334,0.125,0.7083333333333334
264,HL,Active,6,6,1.0,0.125,0.875
264,HL,Passive,6,6,1.0,0.125,0.875
264,LH,Active,6,6,1.0,0.125,0.875
264,LH,Passive,6,6,1.0,0.125,0.875
264,LL,Active,5,6,0.8333333333333334,0.125,0.7083333333333334
264,LL,Passive,5,6,0.8333333333333334,0.125,0.7083333333333334
266,HH,Active,5,6,0.8333333333333334,0.125,0.7083333333333334
266,HH,Passive,5,6,0.8333333333333334,0.125,0.7083333333333334
266,HL,Active,5,6,0.8333333333333334,0.125,0.7083333333333334
266,HL,Passive,6,6,1.0,0.125,0.875
266,LH,Active,4,6,0.6666666666666666,0.125,0.5416666666666666
266,LH,Passive,6,6,1.0,0.125,0.875
266,LL,Active,5,6,0.8333333333333334,0.125,0.7083333333333334
266,LL,Passive,6,6,1.0,0.125,0.875
267,HH,Active,6,6,1.0,0.20833333333333334,0.7916666666666666
267,HH,Passive,6,6,1.0,0.20833333333333334,0.7916666666666666
267,HL,Active,6,6,1.0,0.20833333333333334,0.7916666666666666
267,HL,Passive,5,6,0.8333333333333334,0.20833333333333334,0.625
267,LH,Active,5,6,0.8333333333333334,0.20833333333333334,0.625
267,LH,Passive,6,6,1.0,0.20833333333333334,0.7916666666666666
267,LL,Active,6,6,1.0,0.20833333333333334,0.7916666666666666
267,LL,Passive,6,6,1.0,0.20833333333333334,0.7916666666666666
269,HH,Active,6,6,1.0,0.03125,0.96875
269,HH,Passive,6,6,1.0,0.03125,0.96875
269,HL,Active,4,6,0.6666666666666666,0.03125,0.6354166666666666
269,HL,Passive,6,6,1.0,0.03125,0.96875
269,LH,Active,6,6,1.0,0.03125,0.96875
269,LH,Passive,3,6,0.5,0.03125,0.46875
269,LL,Active,4,6,0.6666666666666666,0.03125,0.6354166666666666
269,LL,Passive,6,6,1.0,0.03125,0.96875
270,HH,Active,1,6,0.16666666666666666,0.010416666666666666,0.15625
270,HH,Passive,4,6,0.6666666666666666,0.010416666666666666,0.65625
270,HL,Active,5,6,0.8333333333333334,0.010416666666666666,0.8229166666666667
270,HL,Passive,4,6,0.6666666666666666,0.010416666666666666,0.65625
270,LH,Active,5,6,0.8333333333333334,0.010416666666666666,0.8229166666666667
270,LH,Passive,5,6,0.8333333333333334,0.010416666666666666,0.8229166666666667
270,LL,Active,4,6,0.6666666666666666,0.010416666666666666,0.65625
270,LL,Passive,6,6,1.0,0.010416666666666666,0.9895833333333334
271,HH,Active,6,6,1.0,0.6145833333333334,0.38541666666666663
271,HH,Passive,6,6,1.0,0.6145833333333334,0.38541666666666663
271,HL,Active,6,6,1.0,0.6145833333333334,0.38541666666666663
271,HL,Passive,6,6,1.0,0.6145833333333334,0.38541666666666663
271,LH,Active,6,6,1.0,0.6145833333333334,0.38541666666666663
271,LH,Passive,6,6,1.0,0.6145833333333334,0.38541666666666663
271,LL,Active,6,6,1.0,0.6145833333333334,0.38541666666666663
271,LL,Passive,6,6,1.0,0.6145833333333334,0.38541666666666663
273,HH,Active,3,6,0.5,0.0625,0.4375
273,HH,Passive,3,6,0.5,0.0625,0.4375
273,HL,Active,4,6,0.6666666666666666,0.0625,0.6041666666666666
273,HL,Passive,5,6,0.8333333333333334,0.0625,0.7708333333333334
273,LH,Active,4,6,0.6666666666666666,0.0625,0.6041666666666666
273,LH,Passive,3,6,0.5,0.0625,0.4375
273,LL,Active,4,6,0.6666666666666666,0.0625,0.6041666666666666
273,LL,Passive,3,6,0.5,0.0625,0.4375
276,HH,Active,4,6,0.6666666666666666,0.125,0.5416666666666666
276,HH,Passive,5,6,0.8333333333333334,0.125,0.7083333333333334
276,HL,Active,3,6,0.5,0.125,0.375
276,HL,Passive,4,6,0.6666666666666666,0.125,0.5416666666666666
276,LH,Active,5,6,0.8333333333333334,0.125,0.7083333333333334
276,LH,Passive,6,6,1.0,0.125,0.875
276,LL,Active,5,6,0.8333333333333334,0.125,0.7083333333333334
276,LL,Passive,3,6,0.5,0.125,0.375
277,HH,Active,6,6,1.0,0.21875,0.78125
277,HH,Passive,6,6,1.0,0.21875,0.78125
277,HL,Active,5,6,0.8333333333333334,0.21875,0.6145833333333334
277,HL,Passive,6,6,1.0,0.21875,0.78125
277,LH,Active,6,6,1.0,0.21875,0.78125
277,LH,Passive,6,6,1.0,0.21875,0.78125
277,LL,Active,6,6,1.0,0.21875,0.78125
277,LL,Passive,6,6,1.0,0.21875,0.78125
279,HH,Active,6,6,1.0,0.10416666666666667,0.8958333333333334
279,HH,Passive,6,6,1.0,0.10416666666666667,0.8958333333333334
279,HL,Active,6,6,1.0,0.10416666666666667,0.8958333333333334
279,HL,Passive,6,6,1.0,0.10416666666666667,0.8958333333333334
279,LH,Active,5,6,0.8333333333333334,0.10416666666666667,0.7291666666666667
279,LH,Passive,6,6,1.0,0.10416666666666667,0.8958333333333334
279,LL,Active,6,6,1.0,0.10416666666666667,0.8958333333333334
279,LL,Passive,4,6,0.6666666666666666,0.10416666666666667,0.5625
280,HH,Active,6,6,1.0,0.08333333333333333,0.9166666666666666
280,HH,Passive,6,6,1.0,0.08333333333333333,0.9166666666666666
280,HL,Active,6,6,1.0,0.08333333333333333,0.9166666666666666
280,HL,Passive,6,6,1.0,0.08333333333333333,0.9166666666666666
280,LH,Active,6,6,1.0,0.08333333333333333,0.9166666666666666
280,LH,Passive,6,6,1.0,0.08333333333333333,0.9166666666666666
280,LL,Active,5,6,0.8333333333333334,0.08333333333333333,0.75
280,LL,Passive,6,6,1.0,0.08333333333333333,0.9166666666666666
281,HH,Active,4,6,0.6666666666666666,0.3854166666666667,0.28124999999999994
281,HH,Passive,5,6,0.8333333333333334,0.3854166666666667,0.4479166666666667
281,HL,Active,6,6,1.0,0.3854166666666667,0.6145833333333333
281,HL,Passive,5,6,0.8333333333333334,0.3854166666666667,0.4479166666666667
281,LH,Active,5,6,0.8333333333333334,0.3854166666666667,0.4479166666666667
281,LH,Passive,3,6,0.5,0.3854166666666667,0.11458333333333331
281,LL,Active,6,6,1.0,0.3854166666666667,0.6145833333333333
281,LL,Passive,6,6,1.0,0.3854166666666667,0.6145833333333333
282,HH,Active,6,6,1.0,0.25,0.75
282,HH,Passive,6,6,1.0,0.25,0.75
282,HL,Active,6,6,1.0,0.25,0.75
282,HL,Passive,5,6,0.8333333333333334,0.25,0.5833333333333334
282,LH,Active,5,6,0.8333333333333334,0.25,0.5833333333333334
282,LH,Passive,6,6,1.0,0.25,0.75
282,LL,Active,4,6,0.6666666666666666,0.25,0.41666666666666663
282,LL,Passive,6,6,1.0,0.25,0.75
283,HH,Active,4,6,0.6666666666666666,0.0625,0.6041666666666666
283,HH,Passive,3,6,0.5,0.0625,0.4375
283,HL,Active,3,6,0.5,0.0625,0.4375
283,HL,Passive,3,6,0.5,0.0625,0.4375
283,LH,Active,4,6,0.6666666666666666,0.0625,0.6041666666666666
283,LH,Passive,3,6,0.5,0.0625,0.4375
283,LL,Active,3,6,0.5,0.0625,0.4375
283,LL,Passive,3,6,0.5,0.0625,0.4375
285,HH,Active,5,6,0.8333333333333334,0.0625,0.7708333333333334
285,HH,Passive,6,6,1.0,0.0625,0.9375
285,HL,Active,6,6,1.0,0.0625,0.9375
285,HL,Passive,6,6,1.0,0.0625,0.9375
285,LH,Active,6,6,1.0,0.0625,0.9375
285,LH,Passive,6,6,1.0,0.0625,0.9375
